 Scanning Speed (m/s) | Power (W)  | Spot size (m)   |    Biot number         
1.25                         125             50e-6            0.000
1.25                         125             50e-6            0.005
1.25                         125             50e-6            0.010
1.25                         125             50e-6            0.050
1.25                         125             50e-6            0.100
1.25                         125             50e-6            0.250
1.25                         125             50e-6            0.500
1.25                         125             50e-6            0.750
1.25                         125             50e-6            1.000
1.25                         125             50e-6            2.500
1.25                         125             50e-6            5.000
1.25                         125             50e-6           10.000
